"id","鄉鎮市區","交易標的","土地區段位置建物區段門牌","土地移轉總面積平方公尺","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位移轉總面積.平方公尺.","車位總價元","備註","編號","主建物面積","附屬建物面積","陽台面積","電梯","移轉編號","X","X.1","X.2","X.3","X.4","Response_X","Response_Y","Count"
1949,"北屯區","房地(土地+建物)+車位","文心路四段271~300號",10.25,"都市：其他:第三種住宅區。","","",1090927,"土地1建物1車位1","三層","二十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1020725,117.6,2,2,1,"有","有",8600000,73129,"坡道平面",27.23,0,"","RPWSMLNLIIPFFBB78DA","55.37","5.57","0","有","","","","","","",219261.56,2674001.986,5
1950,"北屯區","房地(土地+建物)","松和街191巷1~30號",64,"都市：其他:第二種住宅區","","",1091008,"土地1建物1車位0","全","二層","透天厝","住家用","加強磚造",740617,111.96,5,2,4,"有","無",10600000,94677,"",0,0,"夾層","","RPRQMLNLIIPFFBB08DA","89.59","22.37","0","無","","","","","",218626.643,2675147.365,3
1951,"北屯區","房地(土地+建物)+車位","文心路四段991~1020號",8.13,"都市：其他:第三種住宅區。","","",1090920,"土地1建物1車位2","十層","二十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",910807,145.78,3,2,2,"有","有",8400000,57621,"坡道平面",39.51,0,"陽台外推","","RPVWMLKLIIPFFBB78DA","70.38","8.25","0","有","","","","","",219261.56,2674001.986,5
1952,"北屯區","房地(土地+建物)+車位","松山街61~90號",23.44,"都市：其他:第二種住宅區","","",1090914,"土地1建物1車位1","六層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",810908,202.6,4,2,2,"有","有",8850000,43682,"坡道機械",0,0,"","RPQQMLTKIIPFFBB48DA","156.3","17.71","0","有","1834","","","","","",219172.06,2675707.413,4
1953,"北區","房地(土地+建物)","五順街241~270號",4.98,"都市：其他:第一種商業區","","",1091012,"土地1建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",710419,23.38,1,1,1,"有","無",920000,39350,"",0,0,"土地款 80萬建物款 12萬","RPVQMLPKIIPFFBB58DA","21.15","0","0","無","1835","","","","","",217273.958,2671906.081,6
1954,"北屯區","房地(土地+建物)+車位","軍福十一路241~270號",31.23,"都市：其他:第二種住宅區","","",1090927,"土地1建物1車位1","八層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1031209,194.1,3,2,2,"有","有",13200000,68006,"坡道平面",38.22,0,"","RPXNMLSLRHPFFBB07DA","92.53","11.6","0","有","","","","","","",221002.155,2674034.913,3
1955,"北區","房地(土地+建物)+車位","東光東街31~60號",17.47,"都市：其他:第二種住宅區","","",1090829,"土地1建物1車位1","十四層","十七層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",831214,137.34,5,1,2,"有","有",6100000,44415,"坡道機械",0,6e+05,"","RPOOMLTLQHPFFBB88DA","91.14","11.24","0","有","","","","","","",219414.801,2672097.711,4
1956,"東區","房地(土地+建物)+車位","南京東路一段331~360號",9.08,"都市：其他:第二種住宅區","","",1091020,"土地2建物1車位1","十一層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",870915,103.93,2,1,2,"有","有",5500000,52920,"坡道平面",0,0,"","RPRNMLTLIIPFFAB28DA","52.89","5.05","0","有","","","","","","",219275.222,2671842.657,3
1957,"西區","房地(土地+建物)","三民路一段50巷1~30號",2.81,"都市：其他:第一種商業區","","",1091007,"土地2建物1車位0","三層","十九層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",840113,36.64,1,1,1,"有","有",1650000,45033,"",0,0,"","RPRPMLPKIIPFFAB97DA","19.61","3.96","0","有","","","","","","",216250.831,2669451.77,4
1958,"東區","房地(土地+建物)","振興路412巷39弄1~30號",65,"都市：其他:第七種住宅區","","",1090911,"土地1建物1車位0","全","二層","透天厝","住家用","加強磚造",660706,63.68,4,2,2,"有","無",5530000,86840,"",0,0,"其他增建","","RPRRMLMKIIPFFAB87DA","63.68","0","0","無","1839","","","","",219993.739,2669282.591,1
1959,"東區","房地(土地+建物)+車位","東光路204之3巷1~30號",22.91,"都市：其他:第三種住宅區。","","",1090922,"土地1建物1車位1","七層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",801005,147.55,4,2,2,"有","有",6700000,45408,"坡道平面",0,0,"","RPXOMLTKIIPFFAB88DA","127.38","3","0","有","","","","","","",219382.647,2671699.657,3
1960,"南區","房地(土地+建物)+車位","德富路61~90號",23.29,"都市：其他:第二種住宅區","","",1090903,"土地3建物1車位1","四層","九層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",871219,140.98,3,2,2,"有","有",8620000,61143,"坡道平面",18.96,0,"","RPVQMLNLIIPFFAB38DA","78.81","13.01","0","有","","","","","","",215491.435,2667332.066,2
1961,"南區","房地(土地+建物)","五權南路691~720號",16,"都市：其他:第三種住宅區。","","",1090925,"土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",701226,53.47,2,1,1,"有","無",2580000,48260,"",0,0,"","RPOQMLNLIIPFFAB67DA","48.55","0","0","無","","","","","","",216485.28,2667386.835,2
