鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積.平方公尺.,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,X,X.1,X.2,X.3,X.4,Response_X,Response_Y
太平區,房地(土地+建物),臺中市太平區中興路91~120號,15.57,都市：其他:第一種住宅區,,,1040805,土地1建物1車位0,一層,二層,公寓(5樓含以下無電梯),商業用,加強磚造,760320,9.51,0,0,0,無,無,875000,92008,,0,0,市場攤位,,RPUQMLQLIIPFFJB96EA,0,0,0,無,1792,,,,,220847.29,2668982.04
太平區,房地(土地+建物),臺中市太平區中興路91~120號,11.97,都市：其他:第一種住宅區,,,1040805,土地1建物1車位0,一層,二層,公寓(5樓含以下無電梯),商業用,加強磚造,760320,8.56,0,0,0,無,無,875000,102220,,0,0,市場攤位,,RPSRMLQLIIPFFJB86EA,8.56,0,0,無,1792,,,,,220847.29,2668982.04
西屯區,房地(土地+建物),臺中市西屯區上石北2巷1~30號,4.15,都市：其他:第三種商業區,,,1091008,土地2建物1車位0,六層,八層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,801218,39.13,1,0,1,有,有,1980000,50601,,0,0,親友、員工、共有人或其他特殊關係間之交易,,RPQQMLNKIIPFFCB97DA,31.23,0,0,有,,,,,,215136.734,2673129.447
中區,房地(土地+建物),臺中市中區臺灣大道一段361~390號,3.04,都市：其他:第二種商業區,,,1091005,土地5建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,710630,29.3,1,0,1,有,有,1500000,51195,,0,0,,RPPOMLTLIIPFFAB18DA,20.52,0,0,有,,,,,,,217096.187,2671178.214
南區,房地(土地+建物),臺中市南區南和路61~90號,37.01,都市：其他:第三種住宅區。,,,1090916,土地1建物1車位0,一層,八層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,680522,70.89,0,0,0,無,有,4510000,63620,,0,0,,RPTNMLPLIIPFFAB08DA,70.89,0,0,有,,,,,,,216174.562,2668187.648
北屯區,房地(土地+建物),臺中市北屯區梅川東路四段91~120號,4.74,都市：其他:第二種住宅區,,,1091009,土地1建物1車位0,七層,十七層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,831222,49.56,1,1,1,有,有,2810000,56699,,0,0,,RPPNMLSLIIPFFBB08DA,30.23,3.62,0,有,1968,,,,,,217624.958,2674567.754
東區,房地(土地+建物),臺中市東區建成路721~750號,14.33,都市：其他:第一種商業區,,,1090914,土地1建物1車位0,一層，二層，三層，騎樓,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,780607,171.74,2,2,2,有,有,10400000,60557,,0,0,,RPTQMLNLIIPFFAB18DA,146.32,5.02,0,有,,,,,,,218011.793,2669392.004
東區,房地(土地+建物),臺中市東區東光園路100巷6弄181~210號,26.12,都市：其他:第七種住宅區,,,1090921,土地1建物1車位0,一層,六層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,810919,107.52,3,2,2,有,有,6360000,59152,,0,0,其他增建,,RPWVMLQKIIPFFAB56DA,81.44,8.79,0,有,1978,,,,,218870.833,2669020.22
大里區,房地(土地+建物),臺中市大里區鳳城街17巷1~30號,20.83,都市：其他:住宅區,,,1091001,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,730930,86.68,3,2,2,有,無,5500000,63452,,0,0,土地買賣價金新台幣參佰玖拾參萬元，建物買賣價金新台幣壹佰伍拾柒萬元其他增建,,RPPPMLSLIIPFFIB98DA,77.39,0,0,無,2011,,,,,218803.84,2665143.39
北屯區,房地(土地+建物),臺中市北屯區華美西街二段511~540號,169,都市：其他:第三之二種住宅區,,,1090827,土地1建物1車位0,全,二層,透天厝,商業用,鋼筋混凝土加強磚造,620515,193.02,6,3,3,有,無,24000000,124339,,0,0,,RPQQMLMJJIPFFBB87EA,193.02,0,0,無,,,,,,,216444.13,2674565.142
東區,房地(土地+建物),臺中市東區練武路1~30號,101,都市：其他:第五種住宅區,,,1091001,土地1建物1車位0,全,四層,透天厝,商業用,鋼筋混凝土造,,222.2,17,1,17,有,無,17200000,77408,,0,0,其他增建,,RPSOMLTKIIPFFAB38DA,222.2,0,0,無,,,,,,218478.864,2670911.509
西區,房地(土地+建物),臺中市西區美村路一段421~450號,88,都市：其他:第二種住宅區,,,1090906,土地3建物1車位0,全,三層,透天厝,商業用,見其他登記事項,,161.28,7,2,5,有,無,27000000,167411,,0,0,其他增建,,RPUPMLSJRHPFFAB66DA,161.28,0,0,無,,,,,,215561.404,2669779.657
東區,房地(土地+建物),臺中市東區福立街31~60號,76,都市：其他:第二種住宅區,,,1090927,土地1建物1車位0,全,二層,透天厝,商業用,見其他登記事項,580507,119.55,5,2,3,有,無,9880000,82643,,0,0,其他增建,,RPXOMLOJJIPFFAB38DA,119.55,0,0,無,2165,,,,,218762.902,2670958.614
南區,房地(土地+建物),臺中市南區南門路91~120號,72,都市：其他:第二種住宅區,,,1091011,土地1建物1車位0,全,三層,透天厝,商業用,見其他登記事項,600917,198.67,3,2,2,有,無,19800000,99663,,0,0,,RPXPMLOJJIPFFAB48DA,198.67,0,0,無,,,,,,,217421.448,2668624.33
北屯區,房地(土地+建物),臺中市北屯區大鵬路1~30號,74,都市：其他:第二種商業區,,,1090619,土地1建物1車位0,全,三層,透天厝,商業用,鋼筋混凝土加強磚造,611001,154,5,2,3,有,無,8100000,52597,,0,0,親友、員工、共有人或其他特殊關係間之交易,,RPVVMLPJJIPFFBB56EA,154,0,0,無,,,,,,216058.44,2674860.416
西屯區,房地(土地+建物),臺中市西屯區工業區一路2巷1~30號,13.8,都市：其他:第二種住宅區,,,1091021,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,801227,117.06,0,0,0,無,有,7000000,59798,,0,0,,RPUOMLOJJIPFFCB38EA,75.36,0,0,有,,,,,,,210789.378,2675249.784
北區,房地(土地+建物),臺中市北區中清路一段61~90號,17.74,都市：其他:第二種商業區,,,1090924,土地2建物2車位0,十二層,十八層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,790416,203.68,1,1,1,有,有,10000000,49097,,0,0,,RPPNMLNJIIPFFBB37DA,135.85,0,0,有,,,,,,,216638.239,2674260.594
北屯區,房地(土地+建物),臺中市北屯區太原路三段139巷31~60號,13.8,都市：其他:第二種住宅區,,,1090908,土地1建物1車位0,一層，騎樓,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,830228,86.77,0,0,0,無,有,7500000,86435,,0,0,,RPSVMLLLIIPFFBB48DA,61.59,8.95,0,有,,,,,,,218508.239,2673510.83
北屯區,房地(土地+建物),臺中市北屯區梅川東路四段91~120號,4.74,都市：其他:第二種住宅區,,,1090920,土地1建物1車位0,八層,十七層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,831222,49.56,1,1,1,有,有,2550000,51453,,0,0,,RPWOMLQKIIPFFBB58DA,30.23,3.62,0,有,,,,,,,217624.958,2674567.754
