"鄉鎮市區","交易標的","土地區段位置建物區段門牌","土地移轉總面積平方公尺","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位移轉總面積.平方公尺.","車位總價元","備註","編號","主建物面積","附屬建物面積","陽台面積","電梯"
"潭子區","房地(土地+建物)","臺中市潭子區大德一路二段40巷1~30號",73.01,"住","","",1090331,"土地1建物1車位0","全","四層","透天厝","住家用","鋼筋混凝土造",841120,146.85,5,2,3,"有","無",7500000,51073,"",0,0,"含增建或未登記建物。;","RPQNMLNKNHPFFHB48CA",131.29,15.56,0,""
"東勢區","房地(土地+建物)","臺中市東勢區東和街117巷9弄1~30號",86.18,"住","","",1090423,"土地1建物1車位0","全","四層","透天厝","住家用","鋼筋混凝土造",801019,163.72,3,3,2,"有","無",5e+06,30540,"",0,0,"親友、員工或其他特殊關係間之交易。;受債權債務影響或債務抵償之交易。;本案未經地政士簽訂契約係由雙方約定","RPUNMLKKOHPFFGB58CA",160.37,3.35,0,""
"清水區","房地(土地+建物)","臺中市清水區忠孝路200巷38弄1~30號",76,"住","","",1090430,"土地1建物1車位0","全","四層","透天厝","住家用","鋼筋混凝土造",1080517,174.09,5,3,2,"有","無",12500000,71802,"",0,0,"","RPWNMLNKNHPFFFB88CA",159.06,15.03,0,""
"豐原區","房地(土地+建物)","臺中市豐原區直興街181~210號",16.67,"住","","",1090419,"土地1建物1車位0","八層","八層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",850905,105.52,3,2,2,"有","有",5e+06,47384,"",0,0,"","RPXNMLNKNHPFFDB78CA",67.57,12.36,0,""
"西屯區","房地(土地+建物)","臺中市西屯區逢甲路331~360號",23,"住","","",1090422,"土地1建物1車位0","全","四層","透天厝","住家用","鋼筋混凝土造",800107,49.77,5,2,3,"有","無",2500000,50231,"",0,0,"親友、員工或其他特殊關係間之交易。;","RPUNMLPLNHPFFCB68CA",45.25,4.52,0,""
"西屯區","房地(土地+建物)","臺中市西屯區福順路841~870號",16.35,"住","","",1090410,"土地2建物1車位0","四層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",831108,109.23,3,2,2,"有","有",4350000,39824,"",0,0,"含增建或未登記建物。","RPWQMLTKNHPFFCB86CA",75.56,9.57,0,""
"西屯區","房地(土地+建物)","臺中市西屯區逢甲路91~120號",16.91,"住","","",1090330,"土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",671027,67.61,2,1,1,"有","無",3260000,48218,"",0,0,"","RPXOMLTKNHPFFCB76CA",67.61,0,0,""
"南屯區","房地(土地+建物)","臺中市南屯區嶺東路901~930號",16.46,"住","","",1090405,"土地1建物1車位0","十一層","十一層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",810115,103.42,3,2,2,"有","有",4800000,46413,"",0,0,"含增建或未登記建物。","RPUSMLMKNHPFFCB78CA",67.73,12.61,0,""
"西屯區","房地(土地+建物)","臺中市西屯區工業區三十八路40巷1~30號",5.9,"住","","",1090417,"土地1建物1車位0","六層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",830617,29.51,1,0,1,"有","有",1220000,41342,"",0,0,"","RPUOMLNKNHPFFCB48CA",17.68,3.01,0,""
"西屯區","房地(土地+建物)","臺中市西屯區中清西二街61~90號",15.21,"住","","",1090412,"土地1建物1車位0","八層","九層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",860627,108.62,3,2,2,"有","有",5630000,51832,"",0,0,"","RPWOMLNKNHPFFCB68CA",68.65,8.7,0,""
"西屯區","房地(土地+建物)","臺中市西屯區西屯路二段湳子巷1~30號",6.66,"住","","",1090419,"土地1建物1車位0","五層","六層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",960523,36.56,1,0,1,"有","有",1700000,46499,"",0,0,"","RPVQMLMKNHPFFCB68CA",15.18,1.36,0,""
"北屯區","房地(土地+建物)","臺中市北屯區三光北二街1~30號",29.4,"住","","",1090320,"土地1建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",780524,102.94,3,2,2,"有","有",5160000,50126,"",0,0,"","RPPNMLNJOHPFFBB77CA",86.9,7.35,0,""
